id,lon,lat,people,chickens,car,children,malaria,household_head_age,household_head_sex
1,32.6541546024308,-24.5808802256327,4,28,No car,0,malaria,37.4060262741483,male
2,32.5078064801237,-24.7552370498423,6,0,No car,4,no malaria,28.4077063063112,male
3,32.6296823200998,-25.0696137052356,5,2,No car,0,malaria,37.3696654382363,male
4,32.6367970037201,-25.0247711755469,6,5,No car,0,no malaria,31.2254361938777,male
5,32.6747652541596,-24.9733035914501,1,29,No car,0,no malaria,22.9108255063988,male
6,32.7596236300705,-24.9507252642866,6,4,No car,1,malaria,42.2117595558148,male
7,32.6347721535887,-25.0035907524959,6,13,No car,0,no malaria,30.8160167265329,male
8,32.6305734436584,-25.0146302365816,6,28,No car,2,malaria,33.2555703813845,female
9,32.545398193868,-25.0818832527555,7,0,No car,0,no malaria,38.32862933428,male
10,32.6670132273475,-25.0415635606892,4,12,No car,2,no malaria,68.081334228079,male
11,32.7157248245016,-25.010892022993,6,11,No car,4,malaria,29.118490893201,male
12,32.899490636888,-24.9281096223555,8,23,No car,5,no malaria,30.313824641873,male
13,32.4106363472315,-24.4698720634976,7,17,No car,4,no malaria,47.163583540866,male
14,32.5968769956604,-25.0378066087506,4,1,No car,0,malaria,32.2003768510371,male
15,32.9418340734254,-24.8003185293471,6,18,No car,2,no malaria,24.1675786009466,male
16,32.0832958756233,-24.4708654445107,4,2,No car,0,malaria,47.5789907167926,female
17,32.6885600206213,-25.0765105599486,3,35,No car,0,malaria,15.9616583519389,male
18,32.679972047292,-24.9879818009276,7,1,No car,2,no malaria,37.1824105824229,male
19,32.6522224342533,-25.0177375570142,5,34,No car,1,no malaria,28.6461113007261,male
20,32.651191641566,-25.0030245084278,3,0,No car,0,no malaria,20.4660977559272,female
21,32.8480943707883,-24.7872833469185,4,2,No car,0,no malaria,21.9946268584437,male
22,32.8585404071328,-24.807599863392,3,3,No car,0,no malaria,27.9414239206951,male
23,32.8569180325143,-24.803517547328,5,18,No car,0,no malaria,49.2524996253169,male
24,32.6917062419519,-25.0254851376667,4,11,Has car,1,malaria,46.5093167077989,male
25,32.3654712245102,-24.9162510570018,6,27,No car,0,malaria,21.4063235565481,male
26,32.1263005682222,-24.7626069600994,3,8,No car,1,no malaria,32.7973682408802,male
27,32.8646547145946,-24.8493802835422,6,33,No car,0,no malaria,31.4659630407214,female
28,32.2940938077182,-24.875761911519,4,25,No car,3,no malaria,43.6980835391574,female
29,32.7049717999145,-25.0498334833319,7,6,No car,5,no malaria,36.5666907278946,female
30,32.8932718811258,-24.8260344205689,4,8,No car,3,no malaria,37.7166264709741,male
31,32.5826611818417,-25.0725380312595,10,3,No car,6,no malaria,24.1750771612958,male
32,32.549987651129,-24.9547518815583,6,24,No car,3,no malaria,47.8453343878689,male
33,32.706135021909,-25.0065372542263,8,4,No car,3,no malaria,27.7556584839753,male
34,32.8624907888729,-24.8124804136729,7,8,No car,4,no malaria,26.5524441734661,male
35,32.6579240703811,-25.0229361760227,6,30,No car,1,no malaria,31.8604370736046,female
36,32.2977695289735,-24.5293309669078,10,41,No car,5,no malaria,52.6391957116078,male
37,32.7057310718731,-25.0051680276192,3,6,No car,2,no malaria,21.6287019135241,male
38,32.6488477481026,-25.0134685506653,10,7,No car,3,no malaria,15.7034830068037,male
39,32.8542551873728,-24.7932955809431,6,15,No car,4,no malaria,34.2103415051736,male
40,32.5504952596768,-24.9373607990843,6,19,No car,3,no malaria,18.1771031397192,male
41,32.6321983336548,-25.0191701453567,3,24,No car,0,no malaria,18.6088609866046,male
42,32.6222223873879,-25.0226893795073,5,9,No car,4,malaria,16.764609346011,male
43,32.6286788269602,-25.0171289470822,5,2,No car,2,no malaria,24.6474758857955,male
44,32.7232568710799,-25.0710925151872,5,21,No car,2,no malaria,23.3325280603757,female
45,32.6143216580115,-25.1080307070322,8,6,No car,6,no malaria,58.9883744534374,female
46,32.627459028573,-25.0151279738,5,12,No car,0,no malaria,31.6713929577361,male
48,32.6455847220935,-25.0167596112517,9,15,No car,4,no malaria,20.4381248027768,male
49,32.6463801066075,-24.9989209004922,1,11,No car,0,malaria,36.6541660430222,female
50,32.3530474168907,-24.8969559265804,5,2,No car,0,malaria,47.1876667453752,male
51,32.4647652500984,-25.2825739285734,4,1,No car,0,no malaria,23.3687895489939,male
52,32.6447740437544,-25.0261786527569,8,26,No car,5,no malaria,34.0438314197343,male
53,32.7214603375471,-24.9256130819642,8,2,No car,7,malaria,21.3720134068219,male
54,32.7203299022121,-25.0488062279458,6,7,No car,0,no malaria,57.5929353939103,male
